12838KMLB MLB20241201161010912/01/24 16:10:31  5-MIN KMLB 012110Z 36013G21KT 10SM CLR 18/08 A3012 -140 50 300 010/13G21 RMK AO2 T01830078
12838KMLB MLB20241201161510312/01/24 16:15:31  5-MIN KMLB 012115Z 36012KT 10SM CLR 18/08 A3013 -150 50 200 010/12 RMK AO2 T01830078
12838KMLB MLB20241201162010912/01/24 16:20:31  5-MIN KMLB 012120Z 01014G19KT 10SM CLR 18/07 A3012 -140 49 200 010/14G19 RMK AO2 T01780072
12838KMLB MLB20241201162510912/01/24 16:25:31  5-MIN KMLB 012125Z 01014G19KT 10SM CLR 18/07 A3012 -150 49 200 010/14G19 RMK AO2 T01780072
12838KMLB MLB20241201163010912/01/24 16:30:31  5-MIN KMLB 012130Z 35014G22KT 10SM CLR 18/07 A3012 -140 49 200 360/14G22 RMK AO2 T01780072
12838KMLB MLB20241201163510912/01/24 16:35:31  5-MIN KMLB 012135Z 35016G22KT 10SM CLR 18/07 A3012 -150 49 200 360/16G22 RMK AO2 T01780072
12838KMLB MLB20241201164010312/01/24 16:40:31  5-MIN KMLB 012140Z 01014KT 10SM CLR 18/07 A3012 -150 49 200 010/14 RMK AO2 T01780072
12838KMLB MLB20241201164510912/01/24 16:45:31  5-MIN KMLB 012145Z 36014G20KT 10SM CLR 18/07 A3013 -150 49 200 010/14G20 RMK AO2 T01780072
12838KMLB MLB20241201165011612/01/24 16:50:31  5-MIN KMLB 012150Z 36017G22KT 10SM CLR 17/07 A3013 -150 51 100 010/17G22 RMK AO2 SLP202 T01720072
12838KMLB MLB20241201165510912/01/24 16:55:31  5-MIN KMLB 012155Z 36014G22KT 10SM CLR 17/07 A3013 -150 49 100 010/14G22 RMK AO2 T01720067
12838KMLB MLB20241201170010312/01/24 17:00:31  5-MIN KMLB 012200Z 35015KT 10SM CLR 17/07 A3013 -160 49 100 360/15 RMK AO2 T01720067
12838KMLB MLB20241201170510112/01/24 17:05:31  5-MIN KMLB 012205Z 35013KT 10SM CLR 17/07 A3013 -150 53 0 360/13 RMK AO2 T01670072
12838KMLB MLB20241201171010112/01/24 17:10:31  5-MIN KMLB 012210Z 35013KT 10SM CLR 17/07 A3013 -150 51 0 360/13 RMK AO2 T01670067
12838KMLB MLB20241201171510112/01/24 17:15:31  5-MIN KMLB 012215Z 35011KT 10SM CLR 17/07 A3013 -150 53 0 360/11 RMK AO2 T01670072
12838KMLB MLB20241201172010112/01/24 17:20:31  5-MIN KMLB 012220Z 35013KT 10SM CLR 16/07 A3013 -150 55 0 360/13 RMK AO2 T01610072
